number,diameter,height,double height,weight
203277,285.5,57.8,115.6,5.658
203278,297.0,51.5,103.0,8.205
203279,303.0,39.5,79.0,4.524
203280,278.0,39.5,79.0,4.039
203281,280.0,51.5,103.0,6.275
203282,295.0,51.5,103.0,7.335
203283,265.0,39.0,78.0,3.531
203303,273.3,63.5,127.0,5.2
203304,277.9,63.4,126.8,5.2
203305,278.8,71.5,143.0,4.306
203306,261.8,45.5,91.0,4.0
203307,258.0,55.2,110.4,3.08
203308,283.9,43.5,87.0,5.81
203309,284.0,46.5,93.0,4.8
2033100,295.2,64.5,129.0,8.44
2033101,299.9,57.7,115.4,4.91
2033102,322.0,64.5,129.0,10.62
2033103,322.0,64.3,128.6,10.87
2033104,278.0,57.7,115.4,4.01
2033105,300.0,57.1,114.2,7.21
2033106,288.0,64.5,129.0,7.11
2033107,284.8,72.0,144.0,6.87
2033108,344.0,64.6,129.2,12.7
203311,279.8,78.6,157.2,7.0
2033110,295.0,64.4,128.8,8.356
2033111,280.0,52.2,104.4,6.586
2033112,292.0,51.1,102.2,7.39
2033113,276.0,44.2,88.4,3.792
2033114,330.0,46.7,93.4,9.881
2033116,295.0,51.2,102.4,8.118
2033117,330.0,46.5,93.0,9.9
2033118,350.0,64.5,129.0,12.9
2033119,335.0,64.5,129.0,10.96
2033120,320.0,55.5,111.0,8.2
2033121,315.2,83.0,166.0,11.2
2033122,280.0,45.0,90.0,7.79
2033123,320.0,51.1,102.2,9.343
2033124,320.0,51.1,102.2,9.295
2033125,295.0,51.1,102.2,8.124
2033126,295.0,42.7,85.4,4.55
2033127,375.0,54.6,109.2,16.359
2033128,279.8,38.2,76.4,4.07
2033129,330.0,58.4,116.8,10.51
203313,262.0,44.5,89.0,4.85
2033130,300.0,53.0,106.0,5.49
2033136,300.0,51.9,103.8,7.74
2033138,295.0,42.7,85.4,0.0
203314,238.3,122.0,244.0,6.22
203315,303.0,83.0,166.0,8.11
203316,284.0,43.5,87.0,4.8
203317,284.0,43.5,87.0,5.64
203318,258.0,55.5,111.0,3.22
203319,300.0,45.5,91.0,8.0
203320,278.0,58.0,116.0,4.01
203321,284.0,43.5,87.0,5.7
